Index,Address,Name,Date,Transactions,是否oracle,检查结果
8,0xeb9cdd70f7a6827808595394fb4f2d22394c34b2,PriceFeedsAdapterStaderEthx,12/09/2023,1,,
9,0x41fded6845d19c7236d2c3fb53fe5bcd503542ad,PriceFeedsAdapterStaderEthxWithRounds,20/09/2023,1,,
10,0x5a74cef7f818f556732a61c7aa6bad1502f2e9fa,PriceFeedStaderEthxEthxWithRounds,20/09/2023,1,,
11,0x36bfe728eeb94b59c9eaafa745c848c45e9535fe,PriceFeedsAdapterSwellWithRoundsV2,28/09/2023,1,,
12,0x37963f10245e7c3a10c0e9d43a6e617b4bc8440a,PriceFeedSwellSwetheth,10/10/2023,1,,
13,0x3b9955313fa8a5c9f874a84b6e3c8e2605fec1ff,PriceFeedsAdapterSwellWithRoundsV3,10/10/2023,1,,
14,0x6985aaf13a197700c3c8747f5924686d7f0be781,PriceFeedsAdapterVenusMainnetXvs,13/11/2023,1,,
18,0x6e63484daacd224c447b7e2913eaaf659c7bb8b7,MergedAdapterWithoutRoundsOsethethV1,15/12/2023,1,,
20,0x031a4f6342175c6b1207c98575258be3b55407eb,MergedAdapterWithRoundsWeethethV1,20/12/2023,1,,
21,0x5e667aab698a34661b4b9cdc20d2175195bf8df8,PriceFeedsAdapterVenusMainnetXvsV2,05/01/2024,1,,
23,0x4c9add2cea4a79fc6f50da0068a0cf8368c4248b,MergedAdapterWithouthRoundsEthxethV1,17/01/2024,1,,
24,0x5f2041733b06dd040e3e46158ba93a04767427b6,PriceFeedsAdapterStaderEthxWithoutRoundsV3,18/01/2024,1,,
25,0xf302012fbd526835e123fc9e25bf80a49b883eaa,MergedAdapterWithoutRoundsEusdV1,01/02/2024,1,,
26,0xf4f4632f87dc6c62721788e09eff05c8da01b0f5,MergedAdapterWithRoundsApxethethV1,02/02/2024,1,,
27,0xd83ba0fba552862d679d77d074e01cdf259f7a4f,MergedAdapterWithRoundsRsethethV1,15/02/2024,1,,
29,0x3d3344c8f4abb279e192007f7b68eade3c8a5b28,MergedAdapterWithRoundsEzethethV1,20/02/2024,1,,
30,0xa6ab34c11accfaf8c72635fc814ea4e1b7fc705f,PriceFeedsAdapterWithoutRoundsUsdeSusdeV1,22/02/2024,1,,
31,0x8d6d49ddd5fe84b6b43d9420d1dac96b88dba9a1,PriceFeedsAdapterWithoutRoundsUsdeSusdeV2,27/02/2024,1,,
33,0x0e2d75d760b12ac1f2ae84cd2ff9fd13cb632942,PriceFeedsAdapterWithRoundsRswethRswethethV1,18/03/2024,1,,
34,0x4aaf2844c5420bf979d5bc2cf883ef02db07e590,PriceFeedWithRoundsRswethethV1,18/03/2024,1,,
35,0xa51738d1937ffc553d5070f43300b385aa2d9f55,PriceFeedWithRoundsRswethV1,18/03/2024,1,,
36,0x9b2c948dba5952a1f5ab6fa16101c1392b8da1ab,MergedAdapterWithoutRoundsRswethethV2,25/03/2024,1,,
37,0x89e60b56efd70a1d4fbbae947bc33cae41e37a72,MergedAdapterWithRoundsPufetheth,03/04/2024,1,,
38,0xa41107f9259bb835275eacaad8048307b80d7c00,MergedAdapterWithRoundsPufethethV1,03/04/2024,1,,
39,0x767619674cc4758cf64bf19de46964dac8fb7b11,MergedAdapterWithRoundsEthplusethV1,22/04/2024,1,,
40,0xf57ba29437c130e155ca4b65128630777638f05d,MergedAdapterWithRoundsEthplusethV1,24/04/2024,1,,
43,0xab60b9a76c5e92aafb05d927166cbd4786c1f406,MergedAdapterWithoutRoundsSfrxethethV1,20/05/2024,1,,
45,0xe26c1864b5d3cc2e541e19c3473caed5d34bc3bf,PriceFeedCompressor,24/06/2024,1,,
46,0x13d529e2dc67a6305580388a7c57de53fbefc951,PriceFeedCompressor,24/06/2024,1,,
47,0xec0445805c1fd40d82b05bad821b158fbd9b033d,PriceFeedCompressor,25/06/2024,1,,
48,0x26dc62470d4fa7f9cbcd597f9862345a2b3515aa,MergedAdapterWithoutRoundsPufStakingV1,09/07/2024,1,,
49,0x6d711b195925b156fb93502053c2421f46ffb878,EthereumMultiFeedAdapterWithoutRoundsV1,30/07/2024,1,,
51,0xe28abf7028c059c4ebbe726aea7c2ef3f429b02d,PriceFeedCompressor,07/08/2024,1,,
52,0x6978de4916df8cd2bf7732bedebbe7090f028555,EthereumPriceFeedLbtcFundamentalWithoutRoundsV1,14/08/2024,1,,
53,0x6755ec477aa7de20510b4f2529993741dcba679a,MainnetPriceFeedPzethFundamentalWithoutRoundsV1,21/08/2024,1,,
54,0xf43a01a39fd28950031a42861fad703147d5c8e7,MainnetPriceFeedPzethWithoutRoundsV1,21/08/2024,1,,
55,0xca8b247304767619fccf5b0829d0a5aaf414ba7d,MainnetPriceFeedUsd3WithoutRoundsV1,21/08/2024,1,,
56,0x878ab91c4929f7ab019a5a5f45e67350aee2414f,MainnetPriceFeedDeusdWithoutRoundsV1,21/08/2024,1,,
